Complexity metrics,Wed, 4 Dec 2024 15:33:53 CET
Method,CogC,ev(G),iv(G),v(G)
"control.Calculator.calcShippingCosts(Packet, String)",8,3,8,9
control.NotValidDimensionsException.NotValidDimensionsException(String),0,1,1,1
data.Importer.getPackageConfiguration(String[]),1,1,2,2
data.Importer.importPackageConfigurations(String),8,3,5,6
"data.PackageConfiguration.PackageConfiguration(int, int, int, int, int, double)",0,1,1,1
data.PackageConfiguration.getPrice(),0,1,1,1
data.PackageConfiguration.setGirth(int),0,1,1,1
data.PackageConfiguration.setPrice(double),0,1,1,1
"data.Packet.Packet(int, int, int, int)",0,1,1,1
"data.Packet.calculateGirth(int, int, int)",0,1,1,1
"data.Packet.checkInputs(int, int, int, int)",2,2,1,5
data.Packet.getGirth(),0,1,1,1
data.Packet.getHeight(),0,1,1,1
data.Packet.getLength(),0,1,1,1
data.Packet.getWeight(),0,1,1,1
data.Packet.getWidth(),0,1,1,1
data.Packet.setHeight(int),0,1,1,1
data.Packet.setLength(int),0,1,1,1
data.Packet.setWeight(int),0,1,1,1
data.Packet.setWidth(int),0,1,1,1
gui.CalculatorArea.CalculatorArea(),0,1,1,1
"gui.CalculatorArea.convertToGrams(int, String)",1,1,1,2
"gui.CalculatorArea.convertToMillimeters(int, String)",1,1,1,3
gui.CalculatorArea.handleCalculatorIO(),1,1,2,2
gui.CalculatorArea.readPacket(),0,1,1,1
gui.CalculatorArea.setupEventHandlers(),0,1,1,1
gui.CalculatorArea.setupLayout(),1,1,2,2
gui.DHBWArea.DHBWArea(),0,1,1,1
gui.Messages.Messages(),0,1,1,1
"gui.Messages.createDialog(String, String, Map<ButtonType, Runnable>)",2,1,2,2
gui.Messages.createErrorMessage(String),0,1,1,1
gui.Messages.createMessage(String),0,1,1,1
gui.PackageCalculator.main(String[]),0,1,1,1
gui.PackageCalculator.start(Stage),0,1,1,1
gui.PackageConfigurationPopup.getPackageConfigurationGirthTableColumn(),5,1,2,4
gui.PackageConfigurationPopup.showInfoPopup(String),0,1,1,1
gui.PackageModel.PackageModel(),0,1,1,1
gui.PackageModel.createCamera(),0,1,1,1
gui.PackageModel.getGroup(),0,1,1,1
gui.PackageModel.getRotateX(),0,1,1,1
gui.PackageModel.getRotateY(),0,1,1,1
"gui.PackageModel.updateModel(int, int, int)",0,1,1,1
gui.PackageModelArea.PackageModelArea(),0,1,1,1
gui.PackageModelArea.handleMouseDragged(MouseEvent),0,1,1,1
gui.PackageModelArea.handleMousePressed(MouseEvent),0,1,1,1
"gui.PackageModelArea.handleUpdate(int, int, int)",0,1,1,1
gui.ToolbarArea.ToolbarArea(),0,1,1,1
test.CalculatorTest.calcShippingCosts(Packet),11,6,25,26
"test.CalculatorTest.checkInputs(int, int, int, int)",4,3,1,9
test.CalculatorTest.createOutOfBoundsPackages(),0,1,1,1
test.CalculatorTest.createRandomPackages(),3,1,2,3
test.CalculatorTest.createValidPackagesWithGirth(),1,1,2,2
test.CalculatorTest.createValidPackagesWithoutGirth(),1,1,2,2
test.CalculatorTest.removeCsvFile(),0,1,1,1
test.CalculatorTest.setUp(),0,1,1,1
test.CalculatorTest.testCalcShippingCostWithOutOfBoundsPackages(Packet),0,1,1,1
"test.CalculatorTest.testRandomPackages(Entry<Packet, Double>)",1,1,2,2
"test.CalculatorTest.testValidPackagesForPriceWithGirth(Entry<Packet, Double>)",1,1,2,2
"test.CalculatorTest.testValidPackagesForPriceWithoutGirth(Entry<Packet, Double>)",1,1,2,2
test.CalculatorTest.writeCsvFile(),0,1,1,1
test.ImporterTest.setUp(),0,1,1,1
test.ImporterTest.tearDown(),0,1,1,1
test.ImporterTest.testImportPackageConfigurations(),0,1,1,1
test.ImporterTest.testImportPackageConfigurationsFileNotFound(),0,1,1,1
test.ImporterTest.testImportPackageConfigurationsInvalidFormat(),0,1,1,1
test.ImporterTest.testImportPackageConfigurationsInvalidNumberFormat(),0,1,1,1
test.ImporterTest.testImportPackageConfigurationsTooShort(),0,1,1,1
test.PackageConfigurationTest.testConstructorAndGetters(),0,1,1,1
test.PackageConfigurationTest.testSetters(),0,1,1,1
test.PacketTest.testNegativeDimensions(int),0,1,1,1
test.PacketTest.testPacketGetters(),0,1,1,1
test.PacketTest.testPacketSetters(),0,1,1,1
test.PacketTest.testValidGirthCalculation(),0,1,1,1
test.PacketTest.testZeroDimensions(int),0,1,1,1
"updateItem(Integer, boolean)",3,n/a,n/a,n/a

Class,OCavg,OCmax,WMC
control.Calculator,"4,00",4,4
control.NotValidDimensionsException,"1,00",1,1
data.Importer,"3,00",4,6
data.PackageConfiguration,"1,00",1,4
data.Packet,"1,08",2,13
gui.CalculatorArea,"1,29",2,9
gui.DHBWArea,"1,00",1,1
gui.Messages,"1,25",2,5
gui.PackageCalculator,"1,00",1,2
gui.PackageConfigurationPopup,"1,33",2,4
gui.PackageModel,"1,00",1,6
gui.PackageModelArea,"1,00",1,4
gui.ToolbarArea,"1,00",1,1
test.CalculatorTest,"1,77",6,23
test.ImporterTest,"1,00",1,7
test.PackageConfigurationTest,"1,00",1,2
test.PacketTest,"1,00",1,5

Package,v(G)avg,v(G)tot
control,"5,00",10
data,"1,56",28
gui,"1,33",36
test,"2,48",67

Module,v(G)avg,v(G)tot
untitled,"1,91",141

Project,v(G)avg,v(G)tot
project,"1,91",141

